Sites,Groups,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6,Species_7,Species_8,Species_9,Species_10
site_1,A,0,0,0,0,0,0,0,0,0,0
site_2,A,0,0,0,0,0,0,0,0,0,0
site_3,A,0,0,0,0,0,0,0,0,0,1
site_4,A,0,0,0,0,0,0,0,0,0,0
site_5,A,0,0,0,0,0,0,0,0,1,1
site_6,A,0,0,0,0,0,0,0,0,0,0
site_7,A,0,0,0,0,0,0,0,0,0,1
site_8,A,0,0,0,0,0,0,0,0,0,0
site_9,A,0,0,0,0,0,0,0,0,0,1
site_10,A,0,0,0,0,0,0,0,0,0,0
site_11,A,0,0,0,0,0,0,0,0,0,0
site_12,A,0,0,0,0,0,0,0,0,0,0
site_13,A,0,0,0,0,0,0,0,1,0,0
site_14,A,0,0,0,0,0,0,0,1,0,0
site_15,A,0,0,0,0,0,0,0,0,0,1
site_16,A,0,0,0,0,0,0,0,0,0,0
site_17,A,0,0,0,0,0,0,0,0,0,0
site_18,A,0,0,0,0,0,0,0,0,0,0
site_19,A,0,0,0,0,0,0,0,0,0,1
site_20,A,0,0,0,0,0,0,0,0,0,0
site_21,A,0,0,0,0,0,0,0,0,0,0
site_22,A,0,0,0,0,0,0,0,0,0,1
site_23,A,0,0,0,0,0,0,0,0,0,0
site_24,A,0,0,0,0,0,0,0,0,0,0
site_25,A,0,0,0,0,0,0,0,0,0,0
site_26,A,0,0,0,0,0,0,0,0,0,0
site_27,A,0,0,0,0,0,0,0,0,0,0
site_28,A,0,0,0,0,0,0,0,1,0,0
site_29,A,0,0,0,0,0,0,0,1,0,0
site_30,A,0,0,0,0,0,0,0,0,0,0
site_31,A,0,0,0,0,0,0,0,0,0,0
site_32,A,0,0,0,0,0,1,1,0,0,0
site_33,A,0,0,0,0,0,0,0,0,0,0
site_34,A,0,0,0,0,0,0,0,1,0,0
site_35,A,0,0,0,0,0,0,0,1,0,0
site_36,A,1,0,1,0,0,0,0,1,0,0
site_37,B,0,0,1,0,0,0,0,0,0,0
site_38,B,0,0,1,0,0,0,1,0,0,0
site_39,B,0,0,1,0,0,0,0,0,0,0
site_40,B,0,1,1,0,0,0,0,0,0,0
site_41,B,0,0,0,0,0,0,0,0,0,0
site_42,B,0,0,0,1,0,0,0,0,0,0
site_43,B,0,0,0,0,0,0,0,1,0,0
site_44,B,0,0,0,0,0,0,0,0,0,0
site_45,B,0,0,0,0,0,0,0,0,0,0
site_46,B,0,0,0,0,0,0,0,0,0,1
site_47,B,0,0,0,1,0,0,0,0,0,0
site_48,B,0,0,0,1,0,0,0,0,0,0
site_49,B,0,0,0,0,0,0,0,1,0,0
site_50,B,0,0,0,1,0,0,0,0,0,1
site_51,B,0,0,0,0,0,0,0,0,0,0
site_52,B,0,0,0,0,0,0,0,0,0,0
site_53,B,0,0,0,0,0,0,0,0,0,0
site_54,B,0,0,0,0,0,0,0,0,0,0
site_55,B,0,0,0,0,0,0,0,0,0,0
site_56,B,0,0,0,0,0,0,0,0,0,0
site_57,B,0,0,0,0,0,0,0,1,0,0
site_58,B,0,0,0,0,0,0,0,1,0,0
site_59,B,0,0,0,0,0,0,0,1,0,0
site_60,B,0,0,0,0,0,0,0,1,0,0
site_61,B,0,0,1,0,0,0,0,1,0,0
site_62,B,0,0,1,0,0,0,0,1,0,0
site_63,B,0,0,0,0,0,0,0,0,0,0
site_64,C,1,0,1,0,0,0,0,0,0,1
site_65,C,0,0,1,0,0,0,0,0,0,1
site_66,C,0,0,0,0,0,0,0,0,0,1
site_67,C,0,0,0,0,0,0,0,0,0,1
site_68,C,0,0,0,0,0,0,0,1,0,1
site_69,C,0,0,0,0,0,0,0,0,0,1
site_70,C,0,0,0,0,0,0,0,1,0,1
site_71,C,1,0,0,0,0,0,0,0,0,1
site_72,C,1,0,1,0,0,0,0,1,0,1
site_73,C,1,0,0,0,0,0,0,1,0,1
site_74,C,0,0,0,0,0,0,0,0,0,1
site_75,C,0,0,0,0,0,0,0,0,0,1
site_76,C,0,0,0,0,0,0,0,0,0,1
site_77,C,0,0,0,0,0,0,0,0,0,0
site_78,C,1,0,1,0,0,0,0,1,0,0
site_79,C,0,0,0,0,0,0,1,0,0,0
site_80,C,0,0,0,0,0,0,0,1,0,0
site_81,C,1,0,0,0,0,0,0,1,0,0
site_82,C,1,0,0,1,0,0,0,1,0,0
site_83,C,1,0,0,1,0,0,0,1,0,0
site_84,C,1,0,0,1,0,0,0,1,0,0
site_85,C,1,0,0,1,0,0,0,1,0,0
site_86,C,1,0,0,1,0,0,0,1,0,1
site_87,C,1,0,0,1,0,0,0,1,0,1
site_88,C,0,0,0,0,0,0,0,0,0,1
site_89,C,1,0,0,1,0,0,0,0,0,1
site_90,C,1,0,0,1,0,0,0,0,0,1
site_91,C,0,0,1,0,0,0,0,1,0,1
site_92,C,0,0,1,0,0,0,0,0,0,1
site_93,C,0,0,1,0,0,0,0,0,0,1
site_94,C,0,0,1,0,0,0,0,0,0,1
site_95,C,0,0,1,0,0,0,0,0,0,0
site_96,C,0,0,0,0,0,0,0,0,0,0
site_97,C,0,0,0,0,0,0,0,0,0,0
site_98,C,0,0,0,0,0,0,0,0,0,0
site_99,C,0,0,0,0,0,0,0,0,0,0
site_100,C,0,0,0,0,0,0,0,0,0,0
