site,specimen no,longitudo_corporis, longitudo_capitis,longitudo_carapacis,Altitudo_capitis,Altitudo_carapacis
pawana river,1,421,83,338,112,186
pawana river,2,412,80,332,109,172
pawana river,3,501,89,412,136,196
pawana river,4,340,65,275,102,158
pawana river,5,420,58,362,111,174
pawana river,6,330,49,281,105,155
pawana river,7,420,60,360,110,176
pawana river,8,290,40,250,95,148
pawana river,9,440,78,362,130,179
pawana river,10,360,50,310,109,162
ravet,1,312,52,260,105,152
ravet,2,415,64,351,110,172
ravet,3,356,61,295,105,162
ravet,4,489,81,408,119,186
ravet,5,578,96,482,140,216
ravet,6,169,32,137,82,129
ravet,7,257,30,227,90,142
ravet,8,486,64,422,132,186
ravet,9,358,58,300,107,162
ravet,10,349,50,299,106,159
bird valley lake,1,410,56,354,108,172
bird valley lake,2,256,42,214,89,144
bird valley lake,3,358,39,319,109,163
bird valley lake,4,348,45,303,107,158
bird valley lake,5,410,58,352,109,172
bird valley lake,6,298,34,264,109,148
bird valley lake,7,356,49,307,98,164
bird valley lake,8,248,41,207,87,139
bird valley lake,9,347,40,307,107,159
bird valley lake,10,298,39,259,98,148
talegaon lake,1,451,45,399,122,181
talegaon lake,2,426,52,392,113,174
talegaon lake,3,356,34,321,106,163
talegaon lake,4,348,35,262,104,159
talegaon lake,5,501,86,447,137,190
talegaon lake,6,402,54,344,101,170
talegaon lake,7,462,58,428,129,185
talegaon lake,8,357,34,293,108,164
talegaon lake,9,564,64,504,138,208
talegaon lake,10,501,60,469,135,191
